Entry ID,Contest Name,Contest ID,Entry Fee,CPT,FLEX,FLEX,FLEX,FLEX,FLEX
5265439042,NFL Showdown $5K Dime Package [Just $0.10!]  (NYG @ LAR),195786074,$0.10,Colby Parkinson (44191194),Matthew Stafford (44191123),Jaxson Dart (44191124),Kyren Williams (44191125),Davante Adams (44191128),Harrison Mevis (44191136)
5265439235,NFL Showdown $5K Dime Package [Just $0.10!]  (NYG @ LAR),195786074,$0.10,Matthew Stafford (44191176),Jaxson Dart (44191124),Kyren Williams (44191125),Davante Adams (44191128),Colby Parkinson (44191141),Tyler Higbee (44191145)
5265439236,NFL Showdown $5K Dime Package [Just $0.10!]  (NYG @ LAR),195786074,$0.10,Jaxson Dart (44191177),Matthew Stafford (44191123),Davante Adams (44191128),Dominic Zvada (44191137),Colby Parkinson (44191141),Theo Johnson (44191146)
5265439237,NFL Showdown $5K Dime Package [Just $0.10!]  (NYG @ LAR),195786074,$0.10,Blake Corum (44191191),Matthew Stafford (44191123),Jaxson Dart (44191124),Kyren Williams (44191125),Davante Adams (44191128),Colby Parkinson (44191141)
5265439238,NFL Showdown $5K Dime Package [Just $0.10!]  (NYG @ LAR),195786074,$0.10,Colby Parkinson (44191194),Matthew Stafford (44191123),Jaxson Dart (44191124),Davante Adams (44191128),Harrison Mevis (44191136),Dominic Zvada (44191137)
5265439239,NFL Showdown $5K Dime Package [Just $0.10!]  (NYG @ LAR),195786074,$0.10,Kyren Williams (44191178),Matthew Stafford (44191123),Jaxson Dart (44191124),Harrison Mevis (44191136),Dominic Zvada (44191137),Colby Parkinson (44191141)
5265439240,NFL Showdown $5K Dime Package [Just $0.10!]  (NYG @ LAR),195786074,$0.10,Matthew Stafford (44191176),Jaxson Dart (44191124),Kyren Williams (44191125),Davante Adams (44191128),Dominic Zvada (44191137),Konata Mumpfield (44191153)
5265439241,NFL Showdown $5K Dime Package [Just $0.10!]  (NYG @ LAR),195786074,$0.10,Jaxson Dart (44191177),Kyren Williams (44191125),Davante Adams (44191128),Dominic Zvada (44191137),Colby Parkinson (44191141),Najee Harris (44191148)
5265439242,NFL Showdown $5K Dime Package [Just $0.10!]  (NYG @ LAR),195786074,$0.10,Colby Parkinson (44191194),Matthew Stafford (44191123),Jaxson Dart (44191124),Kyren Williams (44191125),Harrison Mevis (44191136),Dominic Zvada (44191137)
5265439243,NFL Showdown $5K Dime Package [Just $0.10!]  (NYG @ LAR),195786074,$0.10,Jaxson Dart (44191177),Matthew Stafford (44191123),Kyren Williams (44191125),Davante Adams (44191128),Malachi Fields (44191135),Xavier Smith (44191164)
5265439244,NFL Showdown $5K Dime Package [Just $0.10!]  (NYG @ LAR),195786074,$0.10,Davante Adams (44191181),Jaxson Dart (44191124),Kyren Williams (44191125),Malik Nabers (44191127),Blake Corum (44191138),Colby Parkinson (44191141)
5265439245,NFL Showdown $5K Dime Package [Just $0.10!]  (NYG @ LAR),195786074,$0.10,Davante Adams (44191181),Matthew Stafford (44191123),Jaxson Dart (44191124),Harrison Mevis (44191136),Colby Parkinson (44191141),Najee Harris (44191148)
5265439246,NFL Showdown $5K Dime Package [Just $0.10!]  (NYG @ LAR),195786074,$0.10,Jaxson Dart (44191177),Matthew Stafford (44191123),Kyren Williams (44191125),Malachi Fields (44191135),Harrison Mevis (44191136),Dominic Zvada (44191137)
5265439247,NFL Showdown $5K Dime Package [Just $0.10!]  (NYG @ LAR),195786074,$0.10,Matthew Stafford (44191176),Jaxson Dart (44191124),Kyren Williams (44191125),Davante Adams (44191128),Blake Corum (44191138),Konata Mumpfield (44191153)
5265439248,NFL Showdown $5K Dime Package [Just $0.10!]  (NYG @ LAR),195786074,$0.10,Matthew Stafford (44191176),Jaxson Dart (44191124),Kyren Williams (44191125),Harrison Mevis (44191136),Dominic Zvada (44191137),Tyler Higbee (44191145)
5265439249,NFL Showdown $5K Dime Package [Just $0.10!]  (NYG @ LAR),195786074,$0.10,Jaxson Dart (44191177),Kyren Williams (44191125),Cam Skattebo (44191126),Davante Adams (44191128),Dominic Zvada (44191137),Theo Johnson (44191146)
5265439250,NFL Showdown $5K Dime Package [Just $0.10!]  (NYG @ LAR),195786074,$0.10,Matthew Stafford (44191176),Kyren Williams (44191125),Davante Adams (44191128),Harrison Mevis (44191136),Dominic Zvada (44191137),Theo Johnson (44191146)
5265439251,NFL Showdown $5K Dime Package [Just $0.10!]  (NYG @ LAR),195786074,$0.10,Malik Nabers (44191180),Matthew Stafford (44191123),Kyren Williams (44191125),Davante Adams (44191128),Dominic Zvada (44191137),Theo Johnson (44191146)
5265439252,NFL Showdown $5K Dime Package [Just $0.10!]  (NYG @ LAR),195786074,$0.10,Harrison Mevis (44191189),Matthew Stafford (44191123),Kyren Williams (44191125),Malik Nabers (44191127),Davante Adams (44191128),Darnell Mooney (44191140)
5265439253,NFL Showdown $5K Dime Package [Just $0.10!]  (NYG @ LAR),195786074,$0.10,Davante Adams (44191181),Cam Skattebo (44191126),Malik Nabers (44191127),Harrison Mevis (44191136),Dominic Zvada (44191137),Blake Corum (44191138)
